entry_date,exit_date,ticker,side,entry_price,exit_price,sl,tp,shares,pnl,win_prob,outcome
2020-12-21,2020-12-21,ADANIENT.NS,BUY,452.8653249076758,446.0723450340607,446.0723450340607,466.4512846549061,11,-74.72277860976652,0.8514313101768494,SL
2020-12-21,2020-12-21,AXISBANK.NS,BUY,602.7333464921288,593.6923462947469,593.6923462947469,620.8153468868927,8,-72.32800157905513,0.6933231353759766,SL
2020-12-21,2020-12-21,HDFCBANK.NS,BUY,653.6476646788648,643.8429497086818,643.8429497086818,673.2570946192307,7,-68.633004791281,0.7061946988105774,SL
2020-12-21,2020-12-21,SBIN.NS,BUY,247.703298313568,243.9877488388645,243.9877488388645,255.13439726297506,20,-74.31098949407044,0.7236786484718323,SL
2020-12-23,2020-12-23,ADANIENT.NS,SELL,456.855335030144,463.7081650555961,463.7081650555961,443.14967497923965,10,-68.52830025452135,0.793164074420929,SL
2021-01-21,2021-01-21,SBIN.NS,BUY,280.5058078619117,276.29822074398305,276.29822074398305,288.92098209776907,17,-71.52898100478711,0.8532378673553467,SL
2021-01-22,2021-01-22,HDFCBANK.NS,BUY,676.8885296429903,666.7352016983455,666.7352016983455,697.19518553228,7,-71.0732956125139,0.8254528045654297,SL
2021-01-22,2021-01-22,RELIANCE.NS,BUY,957.1933088409048,942.8354092082913,942.8354092082913,985.909108106132,5,-71.78949816306783,0.6275084614753723,SL
2021-01-22,2021-01-22,SBIN.NS,BUY,272.6627642104661,268.5728227473091,268.5728227473091,280.8426471367801,18,-73.61894633682607,0.881591796875,SL
2021-01-25,2021-01-25,RELIANCE.NS,BUY,922.7099125187834,908.8692638310017,908.8692638310017,950.391209894347,5,-69.20324343890854,0.6815692186355591,SL
2021-01-25,2021-01-27,SBIN.NS,SELL,262.51287636443817,254.63749007350503,266.45056950990477,254.63749007350503,18,141.75695323679645,0.701229989528656,TP
2021-01-27,2021-01-27,ADANIENT.NS,SELL,511.81760963001614,519.4948737744663,519.4948737744663,496.46308134111564,9,-69.09537730005172,0.7305037975311279,SL
2021-01-27,2021-01-27,HDFCBANK.NS,BUY,676.9345315668586,666.7805135933557,666.7805135933557,697.2425675138644,7,-71.07812581451992,0.6154332160949707,SL
2021-01-27,2021-01-27,SBIN.NS,SELL,258.5452098183164,262.42338796559113,262.42338796559113,250.78885352376687,19,-73.6853847982203,0.712303876876831,SL
2021-01-28,2021-01-28,ADANIENT.NS,SELL,506.03212353938153,513.6226053924722,513.6226053924722,490.8511598332001,9,-68.31433667781624,0.6462973952293396,SL
2021-01-28,2021-01-28,HDFCBANK.NS,BUY,640.9205482392077,631.3067400156197,631.3067400156197,660.148164686384,7,-67.29665756511656,0.7323737144470215,SL
2021-01-29,2021-01-29,ADANIENT.NS,SELL,513.9124083849828,521.6210945107575,521.6210945107575,498.4950361334333,9,-69.37817513197285,0.7469149827957153,SL
2021-01-29,2021-01-29,TCS.NS,BUY,3003.3586931552413,2958.3083127579125,2958.3083127579125,3093.4594539498985,1,-45.05038039732881,0.6088262796401978,SL
2021-02-03,2021-02-03,SBIN.NS,SELL,307.956645646374,312.57599533106963,312.57599533106963,298.7179462769828,16,-73.90959495513016,0.7065651416778564,SL
2021-02-05,2021-02-05,ADANIENT.NS,SELL,593.5129596295509,602.4156540239942,602.4156540239942,575.7075708406644,8,-71.22155515554641,0.6251296997070312,SL
2021-02-11,2021-02-12,ADANIENT.NS,SELL,652.3654397172625,662.1509213130214,662.1509213130214,632.7944765257446,7,-68.49837117031257,0.8256086111068726,SL
2021-02-16,2021-02-16,ICICIBANK.NS,BUY,651.3041452267947,641.5345830483928,641.5345830483928,670.8432695835986,7,-68.38693524881319,0.7666975855827332,SL
2021-02-18,2021-02-19,SBIN.NS,SELL,392.2006743381445,380.43465410800013,398.0836844532167,380.43465410800013,12,141.19224276173236,0.7185745239257812,TP
2021-02-19,2021-02-19,ADANIENT.NS,BUY,810.9680473668393,798.8035266563367,798.8035266563367,835.2970887878445,6,-72.98712426301586,0.6201868057250977,SL
2021-02-19,2021-02-19,ICICIBANK.NS,BUY,614.6476732455143,605.4279581468315,605.4279581468315,633.0871034428798,8,-73.75772078946193,0.6613396406173706,SL
2021-02-19,2021-02-19,SBIN.NS,BUY,382.9273686965026,377.18345816605506,377.18345816605506,394.4151897573977,12,-68.92692636537026,0.8428005576133728,SL
2021-02-25,2021-02-25,ICICIBANK.NS,BUY,621.6114680275654,612.2872960071519,612.2872960071519,640.2598120683923,7,-65.2692041428943,0.7475398182868958,SL
2021-02-26,2021-02-26,ADANIENT.NS,SELL,831.815903508931,844.2931420615649,844.2931420615649,806.861426403663,5,-62.386192763169674,0.8367611169815063,SL
2021-03-04,2021-03-04,ADANIENT.NS,SELL,907.7256449862052,921.3415296609983,921.3415296609983,880.4938756366191,5,-68.07942337396526,0.725420355796814,SL
2021-03-04,2021-03-05,SBIN.NS,BUY,367.8871174497629,362.3688106880165,362.3688106880165,378.9237309732558,13,-71.7379879027036,0.7134672999382019,SL
2021-03-17,2021-03-17,ADANIENT.NS,BUY,895.7556864523748,882.3193511555892,882.3193511555892,922.628357045946,5,-67.18167648392807,0.859768807888031,SL
2021-03-17,2021-03-17,SBIN.NS,BUY,348.9714391008516,343.7368675143388,343.7368675143388,359.44058227387717,14,-73.2840022111792,0.7462509870529175,SL
2021-03-18,2021-03-18,ADANIENT.NS,SELL,873.810687938849,886.9178482579317,886.9178482579317,847.5963673006836,5,-65.53580159541355,0.8601813316345215,SL
2021-03-19,2021-03-23,AXISBANK.NS,BUY,706.0519507718374,727.2335092949925,695.4611715102598,727.2335092949925,6,127.08935113893062,0.6358513832092285,TP
