Ticker,Signal,Signal_Probs,Trade_Probs,WinProb
RELIANCE.NS,HOLD,[0.00426778 0.96830475 0.02742748],[0.00256143 0.76184577 0.23559283],0.23559283
HDFCBANK.NS,HOLD,[0.00372887 0.9802756  0.01599554],[0.00199557 0.88700277 0.11100167],0.11100167
ICICIBANK.NS,HOLD,[0.00318675 0.96338916 0.03342409],[0.00209356 0.790708   0.20719841],0.20719841
SBIN.NS,HOLD,[0.00453503 0.95782214 0.03764288],[0.00243081 0.7209771  0.27659205],0.27659205
AXISBANK.NS,HOLD,[0.00389998 0.96292114 0.03317891],[0.00193192 0.74398714 0.25408098],0.25408098
TCS.NS,HOLD,[0.00312369 0.95886517 0.03801114],[0.00242977 0.77507484 0.22249536],0.22249536
INFY.NS,HOLD,[0.00421333 0.96276796 0.03301873],[0.00237322 0.7719696  0.22565715],0.22565715
MARUTI.NS,HOLD,[0.00466664 0.96321625 0.03211707],[0.00280632 0.70829105 0.2889026 ],0.2889026
ADANIENT.NS,HOLD,[0.00734296 0.9391014  0.05355561],[0.00243624 0.65860826 0.3389555 ],0.3389555
^NSEI,HOLD,[0.0031162  0.97427094 0.0226129 ],[0.00140436 0.9604187  0.03817691],0.03817691
